#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:55:47 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:55:47	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F290%2Fcatalog&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType%2CRmag&-out.max=200000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7290
#Name: VII/290
#Title: The Million Quasars (Milliquas) catalogue, version 7.2 (Flesch, 2021)
#INFO	ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	creator=Flesch E.W.	    First author or institution
#INFO	cites=bibcode:2015PASA...32...10F	    Article or Data origin sources
#INFO	journal=PASA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/290	    Dataset landing page
#INFO	publication_date=2024-02-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_290_catalog:
#Name: VII/290/catalog
#Title: The catalogue (v7.2), 30-April-2021
#Column	Name	(A25)	ID from the literature, or J2000 (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F11.7)	Right ascension J2000 (degrees) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	? Redshift from the literature or estimated (7)	[ucd=src.redshift]
#Column	Type	(A4)	Classification of object, and associations (3)	[ucd=meta.code.class;src.class]
#Column	Rmag	(F5.2)	? Red optical magnitude (4)	[ucd=phot.mag;em.opt.R]
Name	RAJ2000	DEJ2000	z	Type	Rmag
SDSS J003732.13-011838.8 	009.3839052	-01.3108310	 2.310	QX  	20.26
SDSS J003732.14+342143.1 	009.3839463	+34.3619783	 1.875	QR2 	20.26
SDSS J003732.17+011653.2 	009.3841050	+01.2814657	 1.135	Q   	20.10
WISEA J003732.24-364159.8	009.3843155	-36.6998335	 1.900	q   	19.41
WISEA J003732.25-250753.6	009.3843218	-25.1315785	 0.600	q   	20.28
WISEA J003732.25-220942.0	009.3843425	-22.1616834	 0.600	q   	19.20
SDSS J003732.24+044857.3 	009.3843463	+04.8159102	 1.327	Q   	18.59
SDSS J003732.30-052418.1 	009.3845858	-05.4050540	 2.777	Q   	20.77
2QZ J003732.3-300918     	009.3846888	-30.1549786	 0.917	Q   	19.75
SDSS J003732.46+221123.8 	009.3852356	+22.1899825	 1.843	Q   	20.35
SDSS J003732.46+002734.3 	009.3852680	+00.4595553	 2.042	Q   	20.78
SDSS J003732.46+083545.3 	009.3852935	+08.5959490	 1.706	Q   	20.69
SDSS J003732.47+072449.8 	009.3853120	+07.4138533	 3.427	Q   	21.06
WISEA J003732.48-564024.9	009.3853639	-56.6736035	 0.800	q   	19.49
SDSS J003732.62+144257.9 	009.3859246	+14.7160965	 2.360	Q   	20.74
SDSS J003732.69+063247.3 	009.3862133	+06.5464942	 1.568	Q   	21.85
2QZ J003732.7-291422     	009.3862442	-29.2396949	 0.490	Q   	18.80
J003732.78-290954.0      	009.3865953	-29.1650028	      	R   	20.97
SDSS J003732.79+210256.1 	009.3866473	+21.0489247	 3.080	Q   	19.72
SDSS J003732.83-021622.6 	009.3868000	-02.2729927	 2.463	Q   	21.31
SDSS J003732.83+113058.3 	009.3868052	+11.5162194	 0.617	A   	21.81
J003732.90+241307.0      	009.3871111	+24.2186326	 0.300	X   	19.16
J003733.01+441250.3      	009.3875618	+44.2139963	 0.300	X   	18.46
J003733.07+421624.4      	009.3878065	+42.2734469	 1.100	X   	19.65
WISEA J003733.11-331817.2	009.3879591	-33.3048330	 0.300	q   	18.99
SDSS J003733.13+251030.6 	009.3880263	+25.1751827	 1.708	Q   	21.10
SDSS J003733.12+325957.3 	009.3880327	+32.9992507	 1.763	Q   	21.76
SDSS J003733.17+200244.3 	009.3882359	+20.0456653	 2.521	Q   	19.69
2SLAQ J003733.19+002933.1	009.3882994	+00.4925364	 1.193	QR  	19.92
WISEA J003733.19-545305.7	009.3883286	-54.8849251	 0.400	q   	18.63
2QZ J003733.2-282506     	009.3885282	-28.4183763	 0.908	Q   	19.89
SDSS J003733.26+340351.8 	009.3886191	+34.0644125	 2.793	Q   	21.99
SDSS J003733.27+191158.4 	009.3886505	+19.1995661	 0.860	Q   	21.50
J003733.28-435353.0      	009.3886667	-43.8980556	      	X   	20.91
SDSS J003733.30+152203.1 	009.3887856	+15.3675326	 0.466	A   	21.05
SDSS J003733.32+112851.2 	009.3888232	+11.4809045	 1.323	Q   	19.84
SDSS J003733.33+091945.7 	009.3889301	+09.3294063	 1.049	QX  	19.75
SDSS J003733.41+020739.5 	009.3892529	+02.1276651	 1.642	Q   	19.73
SDSS J003733.44+222156.3 	009.3893427	+22.3656765	 2.678	Q   	20.92
SDSS J003733.48+025032.0 	009.3895311	+02.8422391	 0.217	AR  	21.19
SDSS J003733.52-040605.1 	009.3897076	-04.1014302	 1.472	Q   	20.01
SDSS J003733.58-003917.0 	009.3899250	-00.6547245	 2.960	Q   	21.86
WISEA J003733.69-155601.1	009.3901379	-15.9337248	 0.100	q   	18.56
LAMOSTJ003733.66+430720.4	009.3902141	+43.1224192	 0.580	QX  	19.31
J003733.65-273925.7      	009.3902287	-27.6571435	 1.700	X   	20.17
SDSS J003733.72-012350.6 	009.3905030	-01.3974026	 1.338	QX  	21.25
SDSS J003733.73+034323.3 	009.3905639	+03.7231382	 0.623	Q   	19.43
SDSS J003733.83+211257.2 	009.3909433	+21.2159343	 1.505	Q   	19.31
SDSS J003733.93-104518.8 	009.3913941	-10.7552999	 0.730	Q   	19.12
WISEA J003733.95+543046.3	009.3915820	+54.5128551	 1.300	q   	18.40
LIRAS J003734.02+091608.2	009.3917698	+09.2689307	 1.252	QX  	18.71
ELAIS J00375-4333        	009.3918889	-43.5609723	 0.226	N   	17.33
SDSS J003734.07-035318.6 	009.3919694	-03.8885175	 1.780	Q   	20.87
WISEA J003734.09-702414.5	009.3920634	-70.4040499	 0.600	q   	19.84
J003734.16-511546.4      	009.3923466	-51.2628951	      	X   	19.36
SDSS J003734.18+212027.4 	009.3923992	+21.3409743	 0.717	Q   	19.71
SDSS J003734.30+195413.6 	009.3929414	+19.9038042	 1.623	Q   	22.00
WISEA J003734.31-494224.2	009.3930077	-49.7067278	 1.100	q   	18.18
SDSS J003734.31+173325.5 	009.3930089	+17.5571185	 1.012	Q   	19.83
WISEA J003734.35+153407.8	009.3931337	+15.5688362	 0.300	q   	19.34
J003734.36-283059.4      	009.3931667	-28.5165000	      	X   	19.97
WISEA J003734.36-024516.8	009.3931698	-02.7546794	 0.600	q   	22.13
SDSS J003734.37+003239.4 	009.3932273	+00.5443047	 2.943	Q   	21.75
SDSS J003734.40+183024.4 	009.3933480	+18.5067912	 1.172	Q   	22.03
SDSS J003734.42+251955.5 	009.3934313	+25.3320747	 2.202	Q   	20.42
SDSS J003734.44+312413.9 	009.3935441	+31.4038898	 0.879	Q   	20.82
J003734.46+414214.9      	009.3936211	+41.7041659	 1.400	X   	16.76
WISEA J003734.47-152650.6	009.3936473	-15.4473872	 1.700	q   	19.26
SDSS J003734.60+264900.5 	009.3942055	+26.8168108	 1.032	Q   	20.09
SDSS J003734.65+011804.5 	009.3944554	+01.3012891	 1.949	Q   	20.17
SDSS J003734.67+000802.3 	009.3944908	+00.1339742	 1.171	Q   	19.00
SVA1_COADD-2970807282    	009.3945691	-44.2610015	 1.738	QX  	19.56
LAMOSTJ003734.71+420458.8	009.3946184	+42.0830181	 0.151	AX  	17.29
SDSS J003734.75+151915.2 	009.3948171	+15.3209038	 3.053	Q   	20.61
SDSS J003734.84+343421.0 	009.3952139	+34.5725098	 1.279	Q   	20.03
SDSS J003734.88+251553.8 	009.3953637	+25.2649710	 1.603	Q   	21.78
SDSS J003734.89+131356.4 	009.3953867	+13.2323426	 0.300	qX  	19.78
WISEA J003734.89+172546.9	009.3954110	+17.4296957	 1.000	q   	17.16
SDSS J003734.96+033523.1 	009.3956866	+03.5897665	 3.206	Q   	19.27
LAMOSTJ003735.06+400941.6	009.3960747	+40.1615756	 0.335	AX  	18.52
SDSS J003735.08+084513.6 	009.3961713	+08.7537791	 0.463	N   	21.64
J003735.24+090354.4      	009.3968612	+09.0651112	      	X   	22.13
SDSS J003735.25+031349.2 	009.3968881	+03.2303474	 1.627	Q   	19.63
SDSS J003735.26+412730.9 	009.3969340	+41.4585979	 1.700	qX  	21.27
SDSS J003735.26-003832.5 	009.3969465	-00.6423560	 1.234	Q   	19.13
SDSS J003735.39-033034.5 	009.3974830	-03.5096035	 1.812	Q   	19.98
SDSS J003735.47-205653.2 	009.3977955	-20.9481181	 2.100	qR  	20.71
2QZ J003735.5-300636     	009.3979584	-30.1100278	 0.161	K   	20.40
J003735.53+422001.1      	009.3980651	+42.3336440	 1.400	X   	19.85
SDSS J003735.60-002806.5 	009.3983554	-00.4684799	 2.046	Q   	21.92
SDSS J003735.63+074213.0 	009.3984211	+07.7036282	 0.592	Q   	20.92
SDSS J003735.63+113624.2 	009.3984449	+11.6067290	 1.500	qR  	19.61
SDSS J003735.63+052354.4 	009.3985053	+05.3984781	 1.218	Q   	20.13
GCVS HT And              	009.3989112	+41.8956583	 1.700	qX  	18.00
J003735.74-373607.3      	009.3989250	-37.6020437	      	R   	20.07
J003735.77-213620.4      	009.3990556	-21.6056667	      	R   	19.97
MCG 0-02-094             	009.3992205	+00.2806853	 0.035	NR  	11.95
WISEA J003735.86-242952.7	009.3994562	-24.4979952	 0.200	qX  	18.42
SDSS J003735.98+000613.2 	009.3999154	+00.1036647	 0.769	Q   	20.30
WISEA J003736.02+221236.0	009.4001003	+22.2100243	 0.900	q   	19.41
SDSS J003736.02+172307.3 	009.4001178	+17.3853655	 0.605	QX  	20.23
SDSS J003736.03+345258.5 	009.4001285	+34.8829303	 1.830	QR  	18.92
SVA1_COADD-2970461978    	009.4001300	-43.1310300	 0.671	Q   	20.79
SDSS J003736.04-091517.5 	009.4002126	-09.2548456	 1.000	qX  	20.83
WISEA J003736.11+055345.6	009.4004708	+05.8960128	 1.300	q   	21.54
SDSS J003736.13+015354.1 	009.4005702	+01.8983808	 1.699	Q   	21.71
SDSS J003736.14-002702.1 	009.4006121	-00.4506187	 0.695	Q   	21.24
SDSS J003736.15+042624.6 	009.4006636	+04.4401694	 2.891	Q   	21.76
J003736.16-270827.7      	009.4006667	-27.1410278	      	X   	
SDSS J003736.17+001325.1 	009.4007144	+00.2236525	 2.007	Q   	23.19
3HSPJ003736.2-230225     	009.4010031	-23.0404088	 0.400	BRX 	18.69
SDSS J003736.24+195223.7 	009.4010175	+19.8732624	 3.821	Q   	20.74
J003736.25-273220.4      	009.4010625	-27.5390082	      	X   	19.62
SDSS J003736.26+340459.8 	009.4010888	+34.0833032	 1.353	Q   	20.08
J003736.40-335652.9      	009.4016934	-33.9480408	      	X   	19.65
WISEA J003736.46+803916.1	009.4019250	+80.6544854	 0.300	q   	19.09
SDSS J003736.48+211717.2 	009.4020026	+21.2881253	 2.111	Q   	21.59
SDSS J003736.48+272811.8 	009.4020087	+27.4699431	 1.286	Q   	20.42
SDSS J003736.49+290052.1 	009.4020724	+29.0144454	 0.500	Q   	19.69
SDSS J003736.51+035827.5 	009.4021534	+03.9743168	 1.321	Q   	20.35
SDSS J003736.54-011249.7 	009.4022809	-01.2138287	 1.095	Q   	21.41
J003736.56-273905.2      	009.4023591	-27.6514534	 0.900	X   	19.94
2SLAQ J003736.61+000949.8	009.4025720	+00.1638594	 0.944	Q   	21.89
WISEA J003736.67-710758.3	009.4028172	-71.1328790	 0.400	q   	19.07
5C 03.44                 	009.4030209	+39.6366108	 1.938	QRX 	17.37
WISEA J003736.74-383248.2	009.4031336	-38.5467552	 1.900	q   	19.54
SDSS J003736.82+270720.6 	009.4034185	+27.1224060	 0.200	qR  	21.21
WISEA J003736.83-233914.1	009.4035161	-23.6539652	 1.500	q   	19.23
SDSS J003737.03+254834.7 	009.4043080	+25.8096505	 2.335	Q   	18.65
SDSS J003737.07+313217.8 	009.4044994	+31.5382785	 0.865	Q   	21.15
LAMOSTJ003737.08+330447.4	009.4045080	+33.0798385	 1.814	Q   	20.11
SDSS J003737.13+141923.6 	009.4047601	+14.3232288	 2.301	Q   	20.32
WISEA J003737.22+382807.9	009.4048216	+38.4688172	 0.200	q   	19.24
WISEA J003737.16-273623.8	009.4048709	-27.6066170	 0.800	qX  	19.50
WISEA J003737.18-403818.9	009.4049422	-40.6385350	 2.100	qX  	19.51
SDSS J003737.19+081533.2 	009.4049966	+08.2592246	 1.159	Q   	19.38
WISEA J003737.18-202604.3	009.4050246	-20.4346730	 1.800	q   	19.66
SDSS J003737.21+073312.1 	009.4050467	+07.5533664	 2.088	Q   	21.01
SDSS J003737.25+253741.4 	009.4052432	+25.6281770	 0.473	A   	19.43
WISEA J003737.27+162026.9	009.4053238	+16.3408053	 2.100	q   	17.51
SDSS J003737.47+021115.9 	009.4061756	+02.1877738	 1.833	Q   	20.31
J003737.53+275436.6      	009.4063784	+27.9101696	 0.400	R   	19.96
SDSS J003737.55+010952.9 	009.4064583	+01.1647203	 1.767	Q   	21.50
SDSS J003737.58-045938.6 	009.4066225	-04.9940626	 2.857	QR  	21.55
SDSS J003737.62+021359.6 	009.4068094	+02.2332550	 3.384	Q   	21.23
WISEA J003737.78-064100.3	009.4073922	-06.6833849	 1.400	q   	20.21
J003737.78-431356.0      	009.4074445	-43.2322223	      	X   	20.07
SDSS J003737.82+204722.3 	009.4075873	+20.7895181	 2.433	Q   	20.23
WISEA J003737.85-205410.8	009.4077161	-20.9029955	 0.200	q   	19.18
SDSS J003737.91+040033.4 	009.4079627	+04.0092994	 1.894	Q   	21.25
WISEA J003737.91-484241.9	009.4079876	-48.7116558	 0.700	q   	19.58
SDSS J003738.02+094222.1 	009.4084199	+09.7061556	 0.655	A   	22.14
WISEA J003738.17+464013.7	009.4090024	+46.6705164	 0.200	q   	20.86
SDSS J003738.16+282347.2 	009.4090388	+28.3964511	 1.194	Q   	20.11
SDSS J003738.20+043744.0 	009.4091597	+04.6288989	 2.769	Q   	20.14
SDSS J003738.20+264211.1 	009.4092096	+26.7031119	 1.520	Q   	20.98
SVA1_COADD-2970411893    	009.4092911	-44.6439838	 1.383	Q   	19.57
SDSS J003738.26+242640.2 	009.4094261	+24.4445182	 2.015	Q   	20.73
SDSS J003738.32+200646.8 	009.4096763	+20.1130584	 1.255	Q   	20.28
J003738.34-195751.2      	009.4097500	-19.9642223	      	R   	21.49
J003738.63+411554.3      	009.4109775	+41.2650870	 1.200	X   	19.55
SDSS J003738.65-025803.8 	009.4110580	-02.9677284	 0.611	Q   	20.58
SDSS J003738.74+062327.5 	009.4114238	+06.3909708	 2.529	Q   	21.33
SDSS J003738.74+023354.2 	009.4114334	+02.5650694	 1.588	Q   	22.00
LAMOSTJ003738.78+324729.5	009.4116080	+32.7915213	 0.368	A   	19.90
J003738.85+122025.4      	009.4119125	+12.3404061	 2.600	X   	19.69
SDSS J003738.86+222653.2 	009.4119454	+22.4481183	 0.480	Q   	21.28
WISEA J003738.87-543837.0	009.4119589	-54.6436250	 1.300	q   	19.48
SDSS J003738.87+285341.7 	009.4119967	+28.8949077	 2.210	Q   	19.55
SDSS J003738.91+042930.7 	009.4121491	+04.4918721	 2.277	Q   	21.11
WISEA J003738.91-503111.6	009.4121994	-50.5199299	 2.400	qX  	18.14
SDSS J003738.95+062515.5 	009.4123275	+06.4209797	 2.721	Q   	21.51
J003739.02+132555.5      	009.4126112	+13.4320834	      	X   	21.92
WISEA J003739.04+411832.1	009.4127024	+41.3089402	 1.800	q   	20.13
J003739.05-250414.4      	009.4127223	-25.0706667	      	X   	20.76
2QZ J003739.1-274817     	009.4128507	-27.8046436	 1.299	Q   	19.98
SDSS J003739.10+270231.2 	009.4129212	+27.0419910	 1.744	Q   	20.31
SDSS J003739.11+055940.5 	009.4129628	+05.9946061	 1.039	Q   	21.11
WISEA J003739.11-235456.1	009.4130015	-23.9155934	 1.200	q   	19.60
J003739.15-310234.7      	009.4131402	-31.0429761	      	R2  	20.68
SDSS J003739.15+023551.8 	009.4131901	+02.5977539	 1.469	Q   	20.84
SVA1_COADD-2970834632    	009.4133530	-44.1502940	 2.034	Q   	23.69
WISEA J003739.20-685054.1	009.4134262	-68.8484061	 1.100	qX  	18.49
J003739.26-431758.6      	009.4135834	-43.2996112	      	X   	
SDSS J003739.26+180551.6 	009.4136152	+18.0976790	 2.506	Q   	21.51
SDSS J003739.27-003314.1 	009.4136304	-00.5539189	 1.217	Q   	21.43
J003739.27+461435.4      	009.4136610	+46.2431771	 2.500	R   	20.91
WISEA J003739.28-060515.2	009.4137393	-06.0875555	 0.600	q   	18.64
WISEA J003739.38+461949.1	009.4139507	+46.3301979	 1.700	q   	20.74
SDSS J003739.35+021809.7 	009.4140110	+02.3027144	 2.106	Q   	20.24
SDSS J003739.37+284201.7 	009.4140803	+28.7004985	 1.056	Q   	21.22
SDSS J003739.39-055751.2 	009.4141298	-05.9642405	 1.420	Q   	21.43
WISEA J003739.35+465834.4	009.4141497	+46.9762199	 0.900	q   	19.16
LAMOSTJ003739.43+383641.1	009.4143044	+38.6114614	 0.226	Q   	17.90
WISEA J003739.44-162407.9	009.4143614	-16.4022204	 0.200	q   	19.74
WISEA J003739.48-752905.2	009.4145487	-75.4847834	 0.300	q   	19.43
WISEA J003739.55+002045.4	009.4148123	+00.3459523	 2.400	q   	19.47
SDSS J003739.56+052551.2 	009.4148796	+05.4308904	 1.204	Q   	20.26
J003739.60-273952.5      	009.4150278	-27.6645834	      	X   	20.76
SVA1_COADD-2970786038    	009.4150396	-43.4226342	 1.815	QX  	19.78
WISEA J003739.62+195536.7	009.4151017	+19.9268723	 0.200	q   	19.63
SDSS J003739.67+310911.2 	009.4152838	+31.1531148	 1.835	Q   	20.24
WISEA J003739.69+014823.4	009.4153712	+01.8065442	 0.200	q   	18.46
J003739.70-333346.7      	009.4154445	-33.5629723	      	X   	20.92
J003739.72+430420.1      	009.4155287	+43.0722630	 1.500	X   	19.20
WISEA J003739.78-665448.4	009.4158322	-66.9134750	 0.500	q   	20.32
SDSS J003739.81+045856.8 	009.4159150	+04.9824540	 1.688	Q   	20.64
WISEA J003739.87+261348.2	009.4161285	+26.2300724	 1.900	q   	19.72
SDSS J003739.92-043605.2 	009.4163393	-04.6014646	 1.353	Q   	21.93
SDSS J003740.02+264125.2 	009.4167649	+26.6903505	 1.385	Q   	20.73
SDSS J003740.03+140320.9 	009.4168177	+14.0558322	 0.943	Q   	22.35
SDSS J003740.10+323946.3 	009.4171121	+32.6628725	 0.468	A   	19.36
SDSS J003740.13-090810.0 	009.4172284	-09.1361160	 0.847	Q   	18.07
SDSS J003740.17+015028.5 	009.4173699	+01.8412673	 0.674	Q   	20.34
SDSS J003740.17+153841.3 	009.4174085	+15.6448360	 2.212	QR  	21.41
WISEA J003740.19-112545.8	009.4174251	-11.4294450	 1.600	q   	19.55
J003740.30-245902.7      	009.4179445	-24.9840834	      	X   	20.83
SDSS J003740.31+004509.2 	009.4179775	+00.7525824	 1.931	Q   	20.95
SDSS J003740.32-091617.8 	009.4180422	-09.2716237	 2.300	qX  	19.78
SDSS J003740.37+121623.6 	009.4182107	+12.2732446	 2.479	Q   	21.48
WISEA J003740.40-471411.9	009.4183363	-47.2366935	 1.300	q   	18.38
WISEA J003740.43-214422.4	009.4183688	-21.7395473	 1.500	q   	19.32
SDSS J003740.49+051454.0 	009.4187670	+05.2483612	 1.624	Q   	20.44
WISEA J003740.52+371911.3	009.4188677	+37.3197851	 0.600	q   	18.42
SDSS J003740.55+193259.2 	009.4189969	+19.5497952	 2.203	Q   	20.81
SDSS J003740.57-065506.3 	009.4190160	-06.9184303	 1.694	Q   	20.50
WISEA J003740.74+413914.7	009.4197658	+41.6540877	 0.700	q   	19.01
J003740.75-091057.3      	009.4198056	-09.1825834	      	X   	22.24
J003740.82-585241.0      	009.4201179	-58.8780655	      	R   	20.18
SDSS J003740.88+250218.6 	009.4202957	+25.0385026	 1.951	Q   	20.58
SDSS J003740.88+254043.8 	009.4203330	+25.6788359	 1.796	Q   	20.99
SDSS J003740.89+321154.1 	009.4203705	+32.1983816	 1.273	Q   	20.93
SDSS J003740.93-002147.9 	009.4205627	-00.3633247	 1.596	Q   	21.54
WISEA J003740.95-400535.6	009.4206408	-40.0932475	 0.400	q   	19.80
WISEA J003740.96+640022.5	009.4207081	+64.0062624	 0.300	q   	18.87
WISEA J003741.00-194618.9	009.4208811	-19.7719111	 1.900	q   	18.73
2QZ J003741.0-291951     	009.4209265	-29.3308622	 2.169	Q   	20.52
SDSS J003741.02+133748.4 	009.4209278	+13.6301086	 2.717	Q   	20.75
SDSS J003741.02+324352.4 	009.4209423	+32.7312312	 2.279	Q   	21.16
WISEA J003741.04+164230.2	009.4210139	+16.7084120	 1.500	q   	19.42
SDSS J003741.04-061044.2 	009.4210428	-06.1789687	 3.230	Q   	20.78
WISEA J003741.05+765435.9	009.4210481	+76.9099943	 2.600	q   	18.00
WISEA J003741.11-152459.6	009.4212692	-15.4165673	 0.100	q   	19.32
2QZ J003741.1-294604     	009.4213751	-29.7680000	 0.180	K   	20.23
WISEA J003741.19-075504.9	009.4215211	-07.9181144	 1.900	q   	19.55
SDSS J003741.20+255201.0 	009.4216990	+25.8669781	 1.522	Q   	20.61
WISEA J003741.23-220535.0	009.4218173	-22.0930926	 0.700	q   	18.94
SDSS J003741.28+093057.1 	009.4220168	+09.5158771	 2.143	Q   	21.87
SDSS J003741.29-193822.3 	009.4220419	-19.6395344	 2.300	qR  	19.79
LAMOSTJ003741.29+342530.7	009.4220744	+34.4251864	 0.456	qR  	16.49
SDSS J003741.31+255313.3 	009.4221588	+25.8870508	 1.481	Q   	20.44
SDSS J003741.33-030726.8 	009.4222444	-03.1241041	 1.425	Q   	20.39
SDSS J003741.35+000146.8 	009.4223344	+00.0297006	 3.295	Q   	21.15
SDSS J003741.36+002906.7 	009.4223459	+00.4852347	 0.151	N   	17.48
WISEA J003741.41+271222.5	009.4225616	+27.2062726	 0.300	q   	18.61
SDSS J003741.44+131241.4 	009.4226888	+13.2115258	 2.250	QX  	21.21
SDSS J003741.50+252205.3 	009.4229602	+25.3681710	 2.168	Q   	20.25
SDSS J003741.55+095134.1 	009.4231582	+09.8594745	 0.856	Q   	21.98
J003741.58+402535.3      	009.4232737	+40.4264888	 0.600	X   	19.61
SDSS J003741.59+063052.3 	009.4233180	+06.5145164	 2.323	Q   	20.96
SDSS J003741.62+404956.1 	009.4234126	+40.8322460	 1.100	qX  	19.45
WISEA J003741.57-703915.8	009.4236937	-70.6543730	 1.400	q   	18.88
J003741.68-333454.0      	009.4236945	-33.5816667	      	X   	20.86
J003741.69+412233.6      	009.4237223	+41.3760000	      	X   	22.45
SDSS J003741.69+403457.5 	009.4237730	+40.5826356	 1.400	qX  	20.67
SDSS J003741.83+360259.9 	009.4242995	+36.0499820	 1.878	Q   	21.43
WISEA J003741.83+365825.2	009.4243009	+36.9736629	 1.200	q   	17.30
SDSS J003741.85+204325.0 	009.4243796	+20.7236199	 2.069	Q   	21.34
J003741.87-182457.4      	009.4244641	-18.4159720	 2.300	R   	20.14
WISEA J003741.92-351613.6	009.4245925	-35.2703439	 2.700	q   	18.33
SDSS J003741.91+112229.5 	009.4246345	+11.3748631	 1.971	Q   	21.04
SDSS J003741.92+345031.4 	009.4246904	+34.8420833	 2.848	Q   	19.16
WISEA J003741.94-144956.0	009.4247683	-14.8322463	 1.000	qX  	18.86
ELAIS J00376-4402        	009.4248334	-44.0407223	 0.348	K   	19.57
SDSS J003741.97+242108.0 	009.4248624	+24.3522542	 2.088	Q   	20.97
SDSS J003741.99+001137.3 	009.4249843	+00.1937043	 1.480	Q   	19.94
WISEA J003742.01-250204.9	009.4250709	-25.0347147	 1.100	q   	18.71
SDSS J003742.04+154938.2 	009.4251999	+15.8272825	 2.705	Q   	19.27
WISEA J003742.11-483245.7	009.4254780	-48.5460537	 0.700	q   	19.22
J003742.16-250614.1      	009.4257075	-25.1039221	      	X   	20.76
SDSS J003742.17+072215.0 	009.4257768	+07.3708728	 1.706	Q   	21.47
SDSS J003742.20+403737.9 	009.4258766	+40.6272023	 0.600	qX  	19.60
WISEA J003742.22+310220.1	009.4259435	+31.0389306	 1.600	q   	17.33
WISEA J003742.24-222400.7	009.4260304	-22.4002321	 1.600	q   	19.98
SDSS J003742.32+214326.6 	009.4263315	+21.7240924	 2.236	QX  	19.18
SDSS J003742.35+220333.2 	009.4264439	+22.0592509	 0.986	Q   	20.38
SDSS J003742.35-012640.1 	009.4264888	-01.4445341	 1.925	Q   	21.88
WISEA J003742.39-171045.2	009.4266617	-17.1792307	 0.200	q   	19.03
WISEA J003742.42-610555.2	009.4266869	-61.0986838	 1.200	q   	18.39
SDSS J003742.42+084002.1 	009.4267896	+08.6672555	 2.382	Q   	22.18
SDSS J003742.46-012625.7 	009.4269318	-01.4404923	 1.527	Q   	21.95
SDSS J003742.51+313306.4 	009.4271434	+31.5518163	 3.234	Q   	20.09
SDSS J003742.54+275232.8 	009.4272987	+27.8757525	 1.246	Q2  	19.79
J003742.56+412216.6      	009.4273611	+41.3713021	 1.400	X   	19.51
SDSS J003742.62+082652.3 	009.4275965	+08.4478873	 1.342	Q   	20.07
WISEA J003742.73-244023.0	009.4280597	-24.6730810	 1.200	q   	18.31
SDSS J003742.88+051527.6 	009.4286913	+05.2576895	 2.067	Q   	19.24
J003742.92-370234.0      	009.4288524	-37.0427973	      	R   	18.46
SDSS J003742.93+240506.1 	009.4288907	+24.0850367	 0.399	N   	20.88
2SLAQ J003742.93-011034.1	009.4288977	-01.1761503	 2.047	Q   	21.32
SDSS J003742.94+002821.8 	009.4289524	+00.4727343	 0.556	A   	21.07
SDSS J003743.11-072622.9 	009.4296449	-07.4397245	 2.274	Q   	20.02
SDSS J003743.12+051604.5 	009.4296880	+05.2679204	 2.424	Q   	21.31
SDSS J003743.14+075222.3 	009.4297135	+07.8728517	 0.860	Q   	20.17
SDSS J003743.24-053520.6 	009.4301804	-05.5890824	 2.079	Q   	21.60
SDSS J003743.26-044316.7 	009.4302609	-04.7213268	 1.472	Q   	21.27
LAMOSTJ003743.32+035933.0	009.4305307	+03.9925034	 1.616	Q   	19.30
WISEA J003743.37-195717.8	009.4307829	-19.9549293	 1.900	q   	18.99
SDSS J003743.38+265156.6 	009.4308122	+26.8657167	 1.958	Q   	21.16
SDSS J003743.42+023018.0 	009.4309353	+02.5050240	 2.181	Q   	19.18
2SLAQ J003743.44-005344.4	009.4310468	-00.8956438	 1.272	Q   	21.63
WISEA J003743.62-650812.9	009.4317258	-65.1369391	 2.700	q   	18.74
SDSS J003743.64+404227.5 	009.4318653	+40.7076401	 2.400	qX  	21.23
SDSS J003743.69-003536.6 	009.4320720	-00.5935111	 3.519	Q   	21.35
SDSS J003743.74+090725.9 	009.4322702	+09.1239059	 1.638	QX  	20.87
J003743.86+131846.4      	009.4327572	+13.3129014	 0.100	X   	21.43
2SLAQ J003743.89-001820.6	009.4329061	-00.3057321	 1.786	Q   	20.69
J003743.90+434900.7      	009.4329240	+43.8168759	 0.100	R   	20.58
