#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:38 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:38	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F289%2Fdr16q&-out=SDSS%2CRAJ2000%2CDEJ2000%2Cz&-out.max=120000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7289
#Name: VII/289
#Title: SDSS quasar catalog, sixteenth data release (DR16Q) (Lyke+, 2020)
#INFO	ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	creator=Lyke B.W.	    First author or institution
#INFO	cites=bibcode:2020ApJS..250....8L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/289	    Dataset landing page
#INFO	publication_date=2021-03-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_289_dr16q:
#Name: VII/289/dr16q
#Title: The SDSS quasar-only catalog from DR16 (DR16Q)
#Column	SDSS	(A18)	SDSS-DR16 designation (HHMMSS.ss+DDMMSS.s; J2000) (SDSS_NAME)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-17.53/84.44] Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F11.6)	[-0.0027/7.03]? Best available redshift	[ucd=src.redshift;pos.heliocentric]
SDSS	RAJ2000	DEJ2000	z
101439.49+284552.1	153.664573	+28.764480	   2.288000
101439.51+413830.6	153.664662	+41.641833	   4.360000
101439.52+623434.4	153.664684	+62.576233	   1.222000
101439.71+564009.2	153.665492	+56.669238	   2.031515
101439.79+293412.4	153.665829	+29.570117	   2.952000
101439.79+394834.4	153.665825	+39.809567	   0.718000
101439.93+131052.0	153.666415	+13.181129	   3.069000
101439.95+575041.6	153.666468	+57.844890	   2.100000
101440.09+303118.8	153.667046	+30.521901	   1.664961
101440.10+472515.5	153.667119	+47.420988	   2.622000
101440.11+325420.6	153.667129	+32.905737	   1.135205
101440.13+442805.9	153.667212	+44.468320	   1.958000
101440.23+380557.5	153.667664	+38.099324	   3.270000
101440.35+053712.6	153.668150	+05.620194	   2.024284
101440.51+423011.7	153.668801	+42.503265	   0.355858
101440.53+373951.8	153.668897	+37.664394	   1.706475
101440.59+403737.0	153.669158	+40.626952	   2.088740
101440.59+501318.9	153.669153	+50.221917	   2.186118
101440.67+363659.1	153.669481	+36.616430	   1.921761
101440.73+465428.4	153.669712	+46.907897	   2.486000
101440.87-011327.8	153.670292	-01.224392	   2.968000
101440.89+345716.9	153.670409	+34.954705	   2.221000
101440.90+474557.1	153.670451	+47.765880	   1.332000
101440.91+412838.3	153.670494	+41.477321	   3.316914
101440.95+283847.7	153.670632	+28.646585	   4.559000
101440.97+403129.5	153.670748	+40.524870	   1.222908
101440.98+542308.1	153.670770	+54.385593	   2.080646
101441.06+533943.0	153.671092	+53.661953	   1.029000
101441.07+380816.2	153.671140	+38.137840	   1.982017
101441.15+343249.9	153.671473	+34.547218	   2.417000
101441.20+040518.9	153.671686	+04.088597	   2.710000
101441.26+030024.2	153.671927	+03.006731	   2.212000
101441.50+311653.9	153.672922	+31.281650	   0.734597
101441.51+642719.9	153.672999	+64.455555	   1.538692
101441.53+574918.6	153.673076	+57.821854	   1.048000
101441.56+401906.8	153.673167	+40.318579	   1.027032
101441.58+275714.4	153.673277	+27.954015	   1.711380
101540.51+383244.3	153.918830	+38.545649	   1.499396
101441.62+401859.1	153.673422	+40.316432	   1.027523
101441.67+423313.3	153.673659	+42.553718	   2.017973
101441.75+493104.9	153.673990	+49.518051	   1.634000
101441.77+533011.8	153.674081	+53.503279	   1.522811
101441.82+080312.3	153.674258	+08.053442	   2.747000
101441.85+283505.4	153.674381	+28.584861	   1.376352
101441.90+104233.1	153.674612	+10.709209	   2.957000
101441.90+502405.2	153.674589	+50.401460	   1.182000
101442.02+610140.4	153.675098	+61.027903	   1.528459
101442.05+301027.2	153.675229	+30.174229	   2.465520
101442.07+175347.2	153.675313	+17.896450	   0.839000
101442.20+301857.6	153.675841	+30.316004	   0.757577
101442.20+575650.2	153.675837	+57.947299	   0.703000
101442.21+293735.7	153.675901	+29.626610	   1.608671
101442.26+393145.3	153.676097	+39.529271	   1.853255
101442.29+595447.5	153.676238	+59.913202	   1.292000
101442.40+455235.2	153.676706	+45.876454	   1.767000
101442.42+284010.8	153.676771	+28.669686	   1.395131
101442.47+115439.9	153.676968	+11.911110	   1.135000
101442.75+382211.5	153.678134	+38.369880	   1.660712
101442.90+374614.1	153.678786	+37.770593	   1.563930
101442.97+093647.1	153.679056	+09.613104	   2.327000
101443.04+405415.7	153.679368	+40.904385	   1.519015
101443.05+105735.5	153.679416	+10.959865	   0.399000
101443.05+312411.0	153.679416	+31.403066	   1.375932
101527.62+485031.5	153.865110	+48.842110	   1.199000
101443.09+645414.0	153.679575	+64.903914	   2.649000
101443.10+304236.8	153.679605	+30.710244	   1.028951
101443.13+581743.3	153.679713	+58.295375	   0.929000
101443.20+310721.6	153.680031	+31.122678	   1.399685
101443.22+310711.5	153.680085	+31.119879	   1.378733
101443.40+341034.7	153.680863	+34.176311	   2.049778
101443.44+244810.9	153.681008	+24.803037	   0.805000
101443.52+401453.0	153.681347	+40.248059	   1.221258
101540.55+293034.5	153.918976	+29.509605	   1.116764
101443.54+104112.2	153.681419	+10.686745	   2.389000
101443.63+535037.2	153.681825	+53.843681	   2.049980
101443.64+495430.2	153.681839	+49.908402	   1.486000
101443.68+261346.6	153.682024	+26.229617	   2.277000
101443.72+482529.9	153.682194	+48.424992	   2.211000
101443.88+145627.2	153.682874	+14.940916	   0.382400
101443.88+301302.1	153.682868	+30.217260	   2.028943
101444.09+343328.7	153.683728	+34.557978	   2.368000
101444.11+490024.7	153.683792	+49.006881	   1.686000
101444.12+340049.4	153.683847	+34.013728	   1.470039
101444.15+463615.0	153.683987	+46.604183	   2.547000
101444.16+310110.9	153.684013	+31.019704	   0.990509
101444.36+302557.7	153.684850	+30.432695	   2.551000
101444.43+314821.8	153.685161	+31.806078	   0.797000
101444.48-015244.2	153.685354	-01.878968	   3.697000
101444.58+444213.2	153.685786	+44.703670	   1.440500
101444.59+314615.0	153.685798	+31.770843	   1.399504
101444.60+133744.0	153.685840	+13.628896	   2.608000
101444.67+334801.9	153.686125	+33.800544	   1.740924
101444.72+251651.4	153.686366	+25.280971	   0.948900
101444.74+425004.1	153.686457	+42.834500	   2.449000
101444.79+324949.4	153.686638	+32.830395	   1.955723
101444.86+384308.1	153.686951	+38.718922	   1.601936
101444.87+142533.9	153.686980	+14.426093	   2.340000
101444.88+535912.8	153.687030	+53.986892	   2.366000
101444.93+134243.7	153.687210	+13.712151	   2.310000
101444.93+425633.1	153.687229	+42.942544	   1.767181
101444.95+482835.9	153.687321	+48.476643	   0.809000
101444.98+562828.6	153.687424	+56.474638	   1.504725
101445.06+012734.2	153.687783	+01.459523	   1.413805
101445.08+421606.3	153.687844	+42.268441	   1.923483
101445.08+563623.0	153.687859	+56.606391	   2.028974
101445.14+480620.5	153.688117	+48.105709	   1.964000
101445.28+043356.2	153.688701	+04.565615	   1.695430
101445.31+331643.4	153.688805	+33.278732	   0.943000
101445.38+263158.1	153.689092	+26.532823	   1.650000
101445.44+465311.9	153.689341	+46.886645	   0.770000
101445.52+295514.1	153.689689	+29.920609	   1.993330
101445.53+410611.8	153.689741	+41.103289	   0.861323
101445.55+221041.3	153.689815	+22.178150	   0.726000
101445.55+265603.3	153.689807	+26.934254	   1.519000
101445.56+652045.3	153.689847	+65.345926	   2.254000
101445.60+272500.0	153.690034	+27.416689	   0.959445
101445.64+233325.8	153.690181	+23.557179	   0.754751
101445.67+554225.7	153.690305	+55.707142	   1.112723
101445.68+300110.2	153.690341	+30.019503	   2.063063
101445.83+431140.6	153.690986	+43.194638	   0.944351
101445.83+463844.1	153.690991	+46.645589	   0.919000
101446.01+495241.6	153.691746	+49.878230	   3.470000
101446.04+484005.1	153.691866	+48.668087	   1.008000
101446.04+560015.0	153.691874	+56.004192	   2.551000
101446.14+283722.5	153.692267	+28.622923	   1.187747
101446.16+513820.8	153.692340	+51.639111	   1.574100
101446.31+321817.5	153.692992	+32.304880	   1.410667
101446.50+160202.5	153.693785	+16.034035	   2.464000
101446.50+313424.6	153.693756	+31.573515	   1.364028
101446.51+531835.1	153.693800	+53.309765	   1.494000
101446.53+555149.9	153.693911	+55.863865	   0.458000
101446.59+380147.4	153.694159	+38.029839	   2.230019
101446.63+083500.9	153.694319	+08.583594	   2.512000
101446.67+292537.1	153.694493	+29.426988	   1.024969
101446.77+194035.5	153.694878	+19.676552	   2.424000
101446.96+354537.1	153.695678	+35.760333	   1.819960
101447.05+570750.5	153.696051	+57.130714	   0.737693
101447.06+230116.5	153.696107	+23.021275	   0.566336
101447.13-030631.3	153.696377	-03.108700	   0.688000
101447.15+302010.9	153.696475	+30.336377	   0.706685
101447.18+430030.1	153.696592	+43.008382	   3.100000
101447.33+510302.8	153.697212	+51.050781	   1.531966
101447.37+001820.5	153.697384	+00.305718	   2.812000
101447.47+273849.5	153.697796	+27.647097	   0.728000
101447.47-031128.1	153.697819	-03.191154	   0.956000
101447.49+361043.9	153.697913	+36.178861	   1.172880
101447.54+394000.0	153.698086	+39.666688	   1.037652
101447.54+521320.2	153.698101	+52.222284	   1.549000
101447.60+213725.0	153.698369	+21.623639	   1.895000
101447.66+542418.5	153.698595	+54.405140	   1.923544
101447.74+231203.7	153.698939	+23.201046	   0.877000
101447.78+442133.2	153.699084	+44.359246	   0.796333
101447.88+584038.6	153.699513	+58.677392	   1.567061
101447.97+342939.5	153.699900	+34.494320	   1.076413
101448.06+513448.5	153.700273	+51.580143	   3.750000
101448.13+551242.3	153.700544	+55.211774	   1.539534
101448.18+420835.7	153.700756	+42.143271	   1.604504
101448.19+352441.9	153.700802	+35.411660	   0.664000
101448.23+421623.2	153.700965	+42.273121	   2.389000
101448.30+045920.4	153.701282	+04.989002	   2.465000
101448.33+304518.9	153.701411	+30.755271	   1.255387
101448.45+593352.0	153.701885	+59.564454	   1.913000
101448.46+450352.9	153.701937	+45.064712	   2.556000
101448.52+100017.8	153.702176	+10.004947	   1.936000
101448.66+145517.2	153.702785	+14.921450	   0.750000
101448.77+341853.0	153.703230	+34.314731	   3.309000
101448.79+451444.7	153.703317	+45.245754	   2.277000
101448.99+544716.5	153.704144	+54.787933	   1.187000
101449.37+303107.8	153.705708	+30.518846	   0.971105
101449.42+034908.6	153.705946	+03.819058	   3.052000
101449.43+511103.2	153.705976	+51.184227	   1.764751
101449.55+373514.9	153.706470	+37.587498	   2.509000
101449.56+032600.7	153.706511	+03.433552	   0.678226
101449.62+173615.4	153.706757	+17.604292	   0.411000
101449.67+612816.5	153.706997	+61.471257	   0.603000
101449.70+535833.7	153.707107	+53.976043	   1.918123
101449.76+374133.8	153.707342	+37.692737	   1.347301
101449.81+174008.7	153.707580	+17.669110	   5.096723
101450.74+394641.4	153.711418	+39.778178	   3.268000
101449.83+113901.6	153.707652	+11.650452	   3.018000
101449.83+510426.1	153.707666	+51.073921	   0.128905
101449.84+333855.2	153.707702	+33.648692	   1.191516
101449.86+533057.2	153.707789	+53.515905	   3.615000
101449.89+534726.5	153.707893	+53.790710	   0.927152
101449.94+215011.3	153.708085	+21.836481	   3.377000
101449.95+495823.3	153.708153	+49.973144	   1.749039
101449.98+263330.0	153.708281	+26.558351	   0.736000
101450.07+264232.2	153.708650	+26.708947	   2.593000
101450.07+432246.7	153.708657	+43.379665	   1.283291
101450.13+024133.5	153.708902	+02.692660	   2.096425
101450.17+055119.2	153.709064	+05.855335	   1.568326
101450.18+395225.3	153.709116	+39.873709	   2.010601
101450.33+293428.5	153.709724	+29.574595	   1.812678
101450.49+034905.1	153.710390	+03.818085	   0.999183
101450.74+261631.9	153.711430	+26.275551	   2.179000
101450.75+295122.1	153.711482	+29.856143	   2.100914
101450.95+315844.9	153.712331	+31.979156	   2.113000
101450.97+411833.5	153.712377	+41.309326	   1.358799
101450.98+092807.9	153.712456	+09.468863	   0.519000
101450.99+305451.3	153.712466	+30.914274	   1.751943
101451.02+332239.7	153.712600	+33.377701	   0.578877
101451.21+281533.1	153.713396	+28.259209	   0.960000
101451.25+260646.1	153.713564	+26.112809	   1.938000
101451.29+580210.8	153.713715	+58.036343	   3.220000
101451.34+234019.1	153.713944	+23.671987	   2.788000
101451.35+532807.6	153.713998	+53.468796	   3.074000
101451.38+425623.5	153.714122	+42.939883	   1.376777
101451.45+575006.1	153.714381	+57.835033	   0.991000
101451.48+421231.3	153.714535	+42.208699	   0.508370
101451.57+144536.9	153.714915	+14.760274	   2.440000
101451.62+403307.9	153.715108	+40.552200	   1.612378
101451.62+473943.0	153.715085	+47.661953	   2.559000
101451.65+203842.4	153.715235	+20.645122	   2.228000
101451.79+231334.7	153.715796	+23.226332	   2.144000
101451.80+414719.0	153.715852	+41.788621	   2.238000
101451.90+624132.6	153.716264	+62.692394	   2.095000
101451.92+483538.5	153.716346	+48.594038	   0.707000
101451.93+414930.0	153.716383	+41.825011	   1.867687
101451.97+311502.8	153.716573	+31.250796	   0.740000
101452.01+373629.5	153.716737	+37.608214	   2.837736
101452.01+401902.4	153.716710	+40.317360	   1.219515
101452.01+403818.4	153.716733	+40.638450	   1.902167
101452.07-031047.2	153.716962	-03.179783	   1.756000
101452.08+541207.3	153.717033	+54.202051	   0.901353
101452.31+443028.7	153.717968	+44.507975	   1.365067
101452.43+474037.4	153.718480	+47.677065	   1.374905
101452.53+172551.8	153.718914	+17.431056	   2.318000
101452.56+510355.5	153.719020	+51.065423	   1.601098
101452.58+345951.7	153.719118	+34.997703	   1.209041
101452.76+150553.3	153.719859	+15.098142	   2.155000
101452.81+331320.3	153.720072	+33.222308	   2.115000
101452.84+400740.8	153.720201	+40.128013	   2.960000
101452.98+555048.7	153.720753	+55.846885	   3.099000
101453.02+503625.1	153.720949	+50.606984	   1.427703
101453.18+345559.5	153.721611	+34.933205	   1.187332
101453.20+563941.5	153.721682	+56.661550	   1.393000
101453.24+432620.2	153.721873	+43.438965	   3.118000
101453.24+613310.0	153.721834	+61.552797	   1.776000
101453.26+551620.3	153.721929	+55.272329	   2.401000
101453.40+510627.0	153.722512	+51.107501	   2.125000
101453.41+350716.6	153.722574	+35.121288	   1.366013
101453.42+343513.1	153.722599	+34.586989	   1.539756
101453.43+455544.7	153.722630	+45.929087	   1.286000
101454.30+273622.8	153.726263	+27.606351	   1.840015
101453.46+351420.3	153.722778	+35.238980	   1.620152
101453.47+284037.0	153.722801	+28.676962	   2.101408
101453.51+530116.1	153.722998	+53.021152	   2.367000
101453.57+505606.4	153.723230	+50.935127	   1.629595
101453.63+305412.3	153.723471	+30.903433	   2.111736
101453.65+354205.5	153.723581	+35.701537	   1.312602
101453.69+030743.4	153.723727	+03.128732	   0.860967
101453.77+394759.9	153.724049	+39.799996	   1.537925
101453.81+582158.2	153.724209	+58.366182	   2.500000
101453.88+582718.3	153.724509	+58.455099	   2.918000
101453.97+224852.4	153.724905	+22.814561	   0.868998
101454.10+513531.9	153.725421	+51.592209	   2.463000
101454.16+390923.4	153.725671	+39.156517	   2.744000
101454.17+035022.3	153.725738	+03.839553	   2.855000
101454.27+383836.2	153.726139	+38.643394	   1.804547
101454.28+575104.4	153.726170	+57.851227	   0.833964
101454.37+493113.9	153.726552	+49.520542	   2.033000
101454.48+284617.6	153.727036	+28.771562	   1.884437
101454.51+202935.6	153.727136	+20.493233	   2.822000
101454.54+532435.9	153.727253	+53.409983	   1.396977
101454.58+523429.5	153.727454	+52.574877	   0.778000
101454.67+275054.8	153.727802	+27.848562	   1.834958
101454.78+334154.2	153.728266	+33.698400	   0.682473
101454.84+091856.4	153.728505	+09.315668	   2.777000
101454.84+311907.7	153.728500	+31.318808	   1.124521
101454.86+051531.2	153.728604	+05.258668	   2.037222
101454.88+415004.4	153.728683	+41.834570	   0.811000
101454.92+345938.0	153.728843	+34.993897	   2.012423
101454.98+542648.7	153.729086	+54.446878	   2.404000
101455.25+303621.2	153.730208	+30.605899	   2.636444
101455.27+364519.7	153.730307	+36.755484	   2.461000
101455.28+464334.1	153.730366	+46.726164	   1.983000
101455.47+475635.4	153.731156	+47.943183	   2.093000
101455.65+411039.3	153.731901	+41.177587	   2.101738
101455.76+283757.3	153.732342	+28.632586	   1.072634
101455.76+480338.2	153.732346	+48.060627	   1.767000
101455.81+582121.5	153.732580	+58.355996	   2.012018
101455.86+413811.2	153.732777	+41.636450	   0.862079
101455.89+143946.6	153.732901	+14.662947	   0.744000
101455.91+151228.1	153.732979	+15.207808	   1.434700
101455.94+442103.5	153.733096	+44.350985	   1.045747
101455.95+570954.8	153.733164	+57.165237	   0.746000
101456.07+300337.1	153.733627	+30.060312	   3.010000
101456.18+495707.6	153.734119	+49.952120	   1.455357
101456.25+450011.8	153.734414	+45.003295	   1.957000
101456.29+285359.6	153.734573	+28.899898	   2.576000
101456.33+352626.3	153.734734	+35.440655	   1.078341
101456.35+443949.6	153.734826	+44.663802	   2.544000
101456.39+313827.8	153.734984	+31.641073	   2.191000
101501.09+352659.4	153.754566	+35.449852	   1.474845
101456.40+584541.8	153.735034	+58.761612	   1.545428
101456.43+503322.2	153.735156	+50.556193	   2.115494
101456.48+441648.2	153.735346	+44.280075	   1.605541
101456.70+043047.3	153.736285	+04.513166	   0.566003
101456.89+485733.7	153.737063	+48.959371	   1.577000
101456.91-004154.7	153.737148	-00.698538	   2.156000
101456.92+044834.0	153.737191	+04.809456	   0.909083
101456.93+271503.0	153.737238	+27.250847	   1.588174
101457.20+572628.3	153.738352	+57.441214	   2.134142
101457.22+474028.0	153.738432	+47.674457	   1.746000
101457.32+241639.9	153.738841	+24.277750	   2.717000
101457.58+305443.4	153.739927	+30.912061	   1.069649
101457.63+361909.3	153.740127	+36.319261	   3.011000
101457.66+061230.6	153.740256	+06.208521	   2.815000
101457.71+103945.3	153.740486	+10.662598	   1.787301
101457.71+381311.1	153.740472	+38.219758	   1.921560
101457.74+621359.9	153.740595	+62.233330	   3.316000
101457.79+545508.3	153.740828	+54.918994	   2.100000
101457.84+582709.4	153.741028	+58.452629	   1.576485
101458.05+241605.6	153.741884	+24.268242	   2.489000
101458.09+314051.3	153.742061	+31.680932	   1.628268
101458.10+161348.1	153.742124	+16.230039	   2.677000
101458.24+130915.3	153.742704	+13.154254	   2.473000
101458.38+035924.7	153.743270	+03.990195	   1.513000
101458.39+411926.0	153.743326	+41.323890	   0.747859
101458.58+434659.4	153.744083	+43.783170	   2.330000
101458.67+161815.3	153.744475	+16.304265	   1.951000
101458.67+541918.7	153.744490	+54.321886	   2.717000
101458.73+240451.7	153.744718	+24.081038	   0.959000
101458.80+512056.1	153.745007	+51.348926	   1.335756
101458.94+323736.6	153.745601	+32.626858	   1.678964
101459.03+473953.6	153.745982	+47.664899	   2.083000
101552.30+490217.7	153.967934	+49.038263	   0.766960
101459.16+433641.0	153.746503	+43.611394	   1.971000
101459.26+320941.8	153.746936	+32.161623	   2.896000
101459.39+311156.8	153.747472	+31.199137	   1.657876
101459.53+543045.8	153.748060	+54.512723	   2.486000
101459.61+200222.9	153.748376	+20.039713	   1.422727
101459.61+330837.6	153.748399	+33.143804	   2.108426
101459.80+084605.9	153.749187	+08.768320	   0.975000
101459.90+303101.0	153.749601	+30.516946	   1.758000
101459.92+390248.8	153.749679	+39.046891	   1.657338
101459.93+092933.2	153.749734	+09.492562	   1.454000
101459.94+291254.0	153.749790	+29.215010	   1.685788
101459.96+235914.2	153.749837	+23.987292	   1.172549
101500.04+430940.9	153.750183	+43.161380	   3.805000
101500.04+504800.5	153.750195	+50.800143	   0.823416
101500.09+393805.4	153.750407	+39.634842	   1.885315
101500.10+584844.2	153.750452	+58.812283	   1.436256
101500.20+233526.5	153.750870	+23.590710	   2.948000
101500.30+281801.2	153.751284	+28.300343	   2.293000
101500.31+265934.1	153.751319	+26.992831	   0.736000
101500.46+102446.1	153.751924	+10.412816	   2.866000
101500.61+225946.4	153.752561	+22.996235	   2.874000
101500.61+515922.5	153.752555	+51.989585	   1.578471
101500.73+452557.3	153.753059	+45.432605	   3.515000
101500.73+472445.3	153.753082	+47.412586	   2.246000
101500.74+565726.3	153.753120	+56.957326	   1.230456
101500.81+374118.9	153.753383	+37.688609	   1.346495
101500.86+383206.7	153.753614	+38.535196	   2.568000
101500.88+105753.3	153.753696	+10.964833	   3.051000
101500.94+052606.0	153.753956	+05.435014	   2.219000
101500.95+135312.2	153.753974	+13.886733	   2.200000
101500.98+310306.2	153.754120	+31.051742	   1.364300
101501.04+585621.4	153.754335	+58.939284	   1.492000
101501.18+192908.4	153.754938	+19.485681	   2.196000
101501.19+155727.0	153.754959	+15.957504	   2.436000
101501.23+253246.8	153.755141	+25.546336	   2.448000
101501.27+284318.4	153.755324	+28.721801	   1.543919
101501.27+370037.9	153.755317	+37.010547	   1.067274
101501.27+394540.3	153.755303	+39.761213	   2.951000
101501.34+380951.5	153.755605	+38.164307	   1.120408
101501.77+334651.9	153.757405	+33.781090	   1.735683
101608.84+365316.0	154.036873	+36.887795	   0.717982
101501.95+333608.3	153.758150	+33.602309	   0.940491
101501.95+334457.7	153.758138	+33.749386	   0.529000
101502.03+381124.7	153.758468	+38.190214	   1.420107
101502.10+151917.3	153.758790	+15.321483	   2.183000
101502.11+283734.3	153.758820	+28.626221	   1.671646
101502.22+114954.1	153.759262	+11.831705	   2.355000
101502.22+121100.2	153.759282	+12.183395	   2.095000
101502.24+023128.1	153.759358	+02.524485	   0.218473
101502.33+351817.3	153.759736	+35.304811	   1.618801
101502.48+283333.5	153.760366	+28.559331	   1.310457
101502.52+003807.8	153.760507	+00.635517	   2.250000
101502.52+385244.1	153.760536	+38.878933	   2.191000
101502.52+395343.8	153.760526	+39.895522	   1.743218
101502.52+631042.7	153.760510	+63.178544	   1.868052
101502.61+602109.7	153.760910	+60.352709	   1.723000
101502.63+404541.7	153.760990	+40.761585	   0.835183
101502.68+352419.3	153.761193	+35.405366	   1.705596
101502.71+455923.8	153.761320	+45.989964	   1.036275
101502.76+564240.0	153.761518	+56.711113	   1.629664
101502.82+115817.7	153.761755	+11.971598	   0.812000
101502.84+135740.3	153.761853	+13.961218	   1.816000
101502.94+141108.9	153.762256	+14.185826	   1.526000
101503.13+552927.8	153.763051	+55.491066	   1.701780
101503.18+121402.3	153.763264	+12.233989	   2.423000
101503.26+302935.7	153.763617	+30.493274	   2.355000
101503.29+531320.8	153.763745	+53.222445	   1.553366
101503.31+260946.4	153.763807	+26.162916	   1.897000
101503.39+260631.7	153.764127	+26.108819	   2.633000
101503.39+451352.1	153.764137	+45.231151	   1.786102
101503.46+521034.9	153.764422	+52.176387	   2.268000
101503.50+383400.1	153.764606	+38.566715	   2.180593
101503.51+110022.6	153.764666	+11.006291	   2.264000
101503.83+070529.7	153.765983	+07.091604	   2.697000
101503.87+210121.8	153.766163	+21.022737	   1.741948
101503.98+485040.7	153.766615	+48.844641	   1.697000
101504.12+460947.6	153.767187	+46.163234	   1.417000
101504.14+322243.1	153.767263	+32.378641	   2.173000
101504.27+533125.3	153.767806	+53.523707	   2.650000
101504.46+552002.0	153.768594	+55.333900	   1.116949
101504.49+123512.5	153.768725	+12.586813	   0.801286
101504.65+401420.1	153.769386	+40.238932	   1.715328
101504.71+251704.8	153.769637	+25.284680	   1.913000
101504.72+405853.3	153.769690	+40.981483	   1.312763
101504.75+562934.6	153.769829	+56.492968	   0.931242
101504.76+123022.2	153.769834	+12.506178	   1.705000
101504.77+254017.1	153.769876	+25.671422	   1.267137
101504.82+353221.0	153.770098	+35.539178	   1.355997
101504.84+121615.5	153.770192	+12.270993	   1.353863
101504.85+445443.9	153.770243	+44.912199	   2.008153
101504.89+394641.2	153.770399	+39.778125	   1.760000
101505.02+584534.2	153.770918	+58.759511	   0.601485
101505.09+353923.4	153.771232	+35.656522	   0.885000
101505.20+501817.2	153.771679	+50.304801	   0.856622
101505.24+481636.8	153.771841	+48.276899	   1.758000
101505.52+381959.2	153.773037	+38.333127	   2.865140
101505.52+434704.6	153.773034	+43.784612	   2.404000
101505.55+561008.4	153.773126	+56.169023	   2.202000
101505.58+554049.9	153.773288	+55.680553	   1.952021
101505.64+615943.9	153.773520	+61.995538	   1.009000
101505.67+360452.6	153.773662	+36.081289	   0.843274
101505.68+092646.0	153.773691	+09.446125	   2.571000
101505.75+152510.2	153.773978	+15.419509	   2.239000
101505.76+643726.4	153.774035	+64.624003	   2.343000
101505.79+134702.8	153.774166	+13.784118	   0.756368
101505.88-022629.7	153.774523	-02.441610	   0.736000
101505.89+572736.5	153.774553	+57.460152	   0.988306
101506.08+450023.5	153.775353	+45.006532	   2.246000
101506.08+450210.1	153.775366	+45.036139	   1.038000
101506.28+232934.8	153.776202	+23.493003	   1.116884
101506.33+532934.8	153.776389	+53.493010	   2.376000
101506.40+214945.4	153.776667	+21.829285	   2.442000
101506.50+445843.8	153.777124	+44.978850	   0.503256
101506.58+202600.5	153.777446	+20.433488	   2.324000
101506.67+423454.4	153.777806	+42.581794	   1.796000
101506.69+281757.8	153.777899	+28.299415	   4.150000
101506.80+485301.0	153.778356	+48.883628	   0.536618
101507.03+295012.4	153.779295	+29.836782	   1.929490
101507.07+082108.8	153.779474	+08.352450	   2.661000
101507.10+370840.6	153.779585	+37.144629	   2.697496
101507.19+582517.0	153.779965	+58.421404	   1.356328
101507.22+305257.1	153.780096	+30.882549	   1.867075
101507.22+545806.5	153.780114	+54.968495	   2.983000
101507.27+131429.0	153.780294	+13.241408	   2.734000
101507.31+312112.0	153.780488	+31.353340	   0.349816
101507.39+132027.5	153.780818	+13.340999	   1.964000
101507.46+330220.2	153.781102	+33.038969	   2.259000
101507.49+572856.0	153.781231	+57.482223	   0.434802
101507.61+394121.4	153.781741	+39.689289	   2.209000
101507.70+542348.7	153.782114	+54.396868	   1.493948
101507.74+301530.6	153.782255	+30.258517	   1.017000
101507.77+283914.1	153.782408	+28.653925	   1.191051
101507.82+380808.2	153.782585	+38.135631	   1.635678
101507.87+545847.1	153.782828	+54.979776	   1.268196
101508.04+380615.1	153.783507	+38.104206	   1.992302
101508.05+532540.8	153.783577	+53.428008	   1.494242
101508.11+212024.8	153.783822	+21.340233	   1.910000
101508.11+222303.7	153.783821	+22.384379	   2.528000
101508.48+115749.7	153.785366	+11.963826	   1.796000
101508.52+283005.8	153.785500	+28.501620	   1.747879
101508.57+455941.4	153.785718	+45.994861	   1.118000
101508.60+421442.6	153.785839	+42.245168	   0.511155
101508.61-000348.6	153.785885	-00.063501	   3.120000
101508.69+173646.0	153.786227	+17.612797	   0.679000
101508.70+404429.2	153.786281	+40.741460	   2.724000
101508.74+445022.1	153.786444	+44.839500	   0.701923
101508.79+455212.7	153.786663	+45.870210	   1.211000
101508.92+313812.7	153.787198	+31.636884	   2.363000
101508.94+325412.1	153.787266	+32.903372	   2.243290
101509.03+582241.9	153.787629	+58.378321	   0.585000
101509.06+623610.7	153.787789	+62.602979	   1.808000
101509.10+034557.8	153.787926	+03.766082	   1.390368
