#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:11 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:11	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F274%2Fbzcat5&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7274
#Name: VII/274
#Title: The Roma BZCAT - 5th edition (Massaro+, 2015)
#INFO	ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	creator=Massaro E.	    First author or institution
#INFO	cites=bibcode:2015Ap&SS.357...75M	    Article or Data origin sources
#INFO	journal=Ap&S	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/274	    Dataset landing page
#INFO	publication_date=2020-10-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_274_bzcat5:
#Name: VII/274/bzcat5
#Title: The Roma BZCAT - 5th edition
#Column	Name	(A15)	Source name (based on J2000 position), 5BZA JHHMM+DDMM (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
Name	RAJ2000	DEJ2000	z
5BZB J0216-6636	02 16 50.84	-66 36 42.51	 0.000
5BZU J0217-0820	02 17 02.65	-08 20 52.40	 0.607
5BZB J0217+0837	02 17 17.12	+08 37 04.00	 0.000
5BZQ J0217+7349	02 17 30.80	+73 49 32.59	 2.367
5BZQ J0217-7251	02 17 35.69	-72 51 27.89	 0.293
5BZQ J0217-7347	02 17 45.11	-73 47 23.20	 1.234
5BZQ J0217+0144	02 17 48.95	+01 44 49.70	 1.715
5BZQ J0218-0923	02 18 34.37	-09 23 38.40	 1.447
5BZB J0219-1725	02 19 05.50	-17 25 13.11	 0.128
5BZQ J0219+0120	02 19 07.01	+01 20 59.89	 1.623
5BZB J0219-1842	02 19 21.16	-18 42 38.70	 0.000
5BZQ J0220-1305	02 20 28.21	-13 05 19.10	 1.445
5BZQ J0220-2151	02 20 35.15	-21 51 12.09	 2.552
5BZB J0220-0842	02 20 48.46	-08 42 50.40	 0.525
5BZU J0220+2509	02 20 51.24	+25 09 27.61	 0.482
5BZQ J0220-6330	02 20 54.17	-63 30 19.40	 1.478
5BZU J0221+3556	02 21 05.46	+35 56 13.70	 0.944
5BZQ J0222-1615	02 22 00.72	-16 15 16.48	 0.698
5BZB J0222+4302	02 22 39.60	+43 02 07.79	 0.000
5BZQ J0222-3441	02 22 56.40	-34 41 28.71	 1.490
5BZB J0223-1117	02 23 14.23	-11 17 38.29	 0.000
5BZQ J0223-5347	02 23 30.87	-53 47 39.91	 0.569
5BZQ J0223-1656	02 23 43.75	-16 56 37.71	 1.015
5BZQ J0224+0659	02 24 28.43	+06 59 23.31	 0.511
5BZQ J0225+1846	02 25 04.67	+18 46 48.79	 2.690
5BZG J0225+3710	02 25 27.35	+37 10 27.58	 0.033
5BZU J0226+0937	02 26 13.68	+09 37 26.68	 2.605
5BZB J0226-4441	02 26 38.86	-44 41 22.41	 0.000
5BZQ J0227+3931	02 27 07.30	+39 31 40.11	 1.571
5BZB J0227+0202	02 27 16.59	+02 01 59.98	 0.457
5BZQ J0227-0848	02 27 32.08	-08 48 12.20	 2.226
5BZQ J0227-3026	02 27 40.54	-30 26 03.58	 0.303
5BZQ J0228-5546	02 28 21.60	-55 46 03.28	 2.464
5BZQ J0228-3719	02 28 33.72	-37 19 56.31	 2.154
5BZQ J0228+6721	02 28 50.04	+67 21 02.98	 0.523
5BZQ J0228-0337	02 28 53.21	-03 37 37.09	 2.073
5BZQ J0229-3643	02 29 28.44	-36 43 56.78	 2.115
5BZQ J0229-7847	02 29 34.95	-78 47 45.60	 1.070
5BZQ J0229-1031	02 29 59.39	-10 31 17.61	 1.135
5BZQ J0230+4032	02 30 45.71	+40 32 53.08	 1.019
5BZQ J0231-4746	02 31 11.80	-47 46 11.60	 0.765
5BZQ J0231-5841	02 31 16.92	-58 41 06.79	 2.079
5BZQ J0231+1322	02 31 45.89	+13 22 54.69	 2.065
5BZQ J0231-3935	02 31 51.82	-39 35 47.29	 1.646
5BZG J0232+2017	02 32 48.60	+20 17 17.30	 0.139
5BZB J0233+3442	02 33 20.41	+34 42 54.00	 0.458
5BZQ J0233+0229	02 33 49.19	+02 29 25.11	 0.321
5BZQ J0235-4737	02 35 06.41	-47 37 10.59	 1.504
5BZB J0235-2938	02 35 36.72	-29 38 43.40	 0.000
5BZQ J0236-2953	02 36 31.17	-29 53 55.49	 2.102
5BZQ J0236-6136	02 36 53.24	-61 36 15.19	 0.467
5BZQ J0237+0526	02 37 14.04	+05 26 49.99	 0.561
5BZB J0237-3603	02 37 34.02	-36 03 28.51	 0.411
5BZQ J0237+2848	02 37 52.40	+28 48 08.99	 1.206
5BZB J0238-0924	02 38 13.66	-09 24 31.39	 0.419
5BZB J0238-3116	02 38 32.49	-31 16 58.18	 0.233
5BZB J0238+1636	02 38 38.93	+16 36 59.29	 0.940
5BZQ J0239-7626	02 39 00.49	-76 26 42.21	 1.386
5BZQ J0239-0234	02 39 45.47	-02 34 40.90	 1.116
5BZQ J0239+0416	02 39 51.25	+04 16 21.39	 0.978
5BZQ J0240+4216	02 40 05.25	+42 16 22.51	 1.700
5BZQ J0240+1848	02 40 42.82	+18 48 00.10	 1.297
5BZB J0240-0504	02 40 56.15	-05 04 41.98	 0.000
5BZU J0241-0815	02 41 04.80	-08 15 20.80	 0.005
5BZQ J0242+2653	02 42 20.82	+26 53 37.71	 1.851
5BZU J0242+1742	02 42 24.27	+17 42 58.78	 0.551
5BZQ J0242+1101	02 42 29.16	+11 01 00.69	 2.680
5BZB J0243+0046	02 43 02.93	+00 46 27.29	 0.409
5BZQ J0243-0550	02 43 12.47	-05 50 55.28	 1.805
5BZB J0243+7120	02 43 30.88	+71 20 17.91	 0.000
5BZB J0244-5819	02 44 40.29	-58 19 54.51	 0.265
5BZQ J0245+2405	02 45 16.86	+24 05 35.19	 2.247
5BZG J0245-1107	02 45 24.95	-11 07 16.78	 0.098
5BZQ J0246-4651	02 46 00.12	-46 51 17.20	 1.385
5BZQ J0246-2945	02 46 10.17	-29 45 22.39	 2.190
5BZQ J0246+1823	02 46 11.82	+18 23 30.08	 3.590
5BZQ J0246-1236	02 46 58.47	-12 36 30.81	 2.201
5BZB J0248-1631	02 48 07.72	-16 31 46.41	 0.000
5BZQ J0249+0619	02 49 18.01	+06 19 51.88	 1.881
5BZQ J0250-2731	02 50 14.39	-27 31 28.81	 1.132
5BZB J0250-2129	02 50 18.95	-21 29 40.30	 0.498
5BZU J0250+1712	02 50 37.96	+17 12 08.89	 1.100
5BZQ J0251-6000	02 51 26.23	-60 00 06.30	 1.373
5BZQ J0251+4315	02 51 34.54	+43 15 15.80	 1.310
5BZQ J0251+3734	02 51 59.22	+37 34 18.40	 1.818
5BZQ J0252-2219	02 52 47.94	-22 19 25.50	 1.419
5BZB J0253-0124	02 53 15.59	-01 24 05.29	 0.000
5BZQ J0253+0006	02 53 21.04	+00 06 00.00	 1.339
5BZQ J0253-5441	02 53 29.17	-54 41 51.39	 0.539
5BZQ J0253+5102	02 53 57.60	+51 02 56.50	 1.732
5BZQ J0254+2343	02 54 24.72	+23 43 26.50	 1.987
5BZQ J0254+3931	02 54 42.63	+39 31 34.71	 0.289
5BZQ J0256-2137	02 56 12.84	-21 37 29.09	 1.470
5BZQ J0256-3315	02 56 42.60	-33 15 21.31	 1.915
5BZQ J0257-1212	02 57 40.99	-12 12 01.40	 1.391
5BZG J0257+1847	02 57 45.63	+18 47 05.38	 0.427
5BZB J0258+2030	02 58 07.31	+20 30 01.58	 0.000
5BZQ J0258-3909	02 58 14.04	-39 09 40.71	 3.449
5BZQ J0258-5052	02 58 38.75	-50 52 04.40	 0.834
5BZQ J0258+0541	02 58 50.52	+05 41 08.01	 1.380
5BZQ J0259+0747	02 59 27.07	+07 47 39.58	 0.893
5BZQ J0259-0020	02 59 28.51	-00 19 59.98	 2.000
5BZQ J0259+1925	02 59 29.64	+19 25 44.29	 0.545
5BZB J0301+3441	03 01 03.77	+34 41 01.21	 0.246
5BZQ J0301-1812	03 01 06.73	-18 12 17.60	 1.627
5BZQ J0301+0118	03 01 23.61	+01 18 36.00	 1.221
5BZQ J0301-7156	03 01 38.45	-71 56 34.40	 0.823
5BZB J0302-0750	03 02 35.77	-07 50 26.91	 0.000
5BZQ J0303-7914	03 03 20.88	-79 14 56.50	 1.115
5BZB J0303-2407	03 03 26.50	-24 07 11.38	 0.266
5BZG J0303+0554	03 03 30.19	+05 54 30.20	 0.196
5BZB J0303+4716	03 03 35.23	+47 16 16.28	 0.000
5BZQ J0303-6211	03 03 50.63	-62 11 25.51	 1.391
5BZB J0304-2832	03 04 16.32	-28 32 18.09	 0.000
5BZQ J0304-7007	03 04 18.22	-70 07 41.01	 1.115
5BZQ J0304-2024	03 04 26.87	-20 24 06.80	 1.821
5BZQ J0304-4333	03 04 29.14	-43 33 15.98	 1.945
5BZB J0304-0054	03 04 33.95	-00 54 04.60	 0.511
5BZU J0304+0002	03 04 58.97	+00 02 35.69	 0.564
5BZB J0305-0607	03 05 00.54	-06 07 41.41	 0.000
5BZQ J0307-4857	03 07 34.19	-48 57 11.59	 0.796
5BZQ J0308-7812	03 08 42.79	-78 12 41.61	 1.326
5BZB J0309-3604	03 09 02.51	-36 04 03.79	 0.000
5BZQ J0309+1029	03 09 03.61	+10 29 16.29	 0.863
5BZQ J0309-0559	03 09 23.28	-05 59 20.39	 0.745
5BZB J0309-0744	03 09 43.24	-07 44 27.49	 0.000
5BZQ J0309-6058	03 09 56.09	-60 58 39.10	 1.479
5BZB J0310+4056	03 10 06.30	+40 56 54.81	 0.137
5BZQ J0310+3814	03 10 49.87	+38 14 53.80	 0.816
5BZB J0311-7701	03 11 25.32	-77 01 34.50	 0.320
5BZQ J0311-7651	03 11 55.25	-76 51 50.90	 0.223
5BZQ J0312-5541	03 12 07.19	-55 41 34.79	 0.835
5BZQ J0312+0133	03 12 43.60	+01 33 17.60	 0.664
5BZG J0312+3615	03 12 50.27	+36 15 19.51	 0.071
5BZU J0313+4120	03 13 01.96	+41 20 01.21	 0.136
5BZG J0313+4115	03 13 57.60	+41 15 23.61	 0.029
5BZQ J0314-6548	03 14 22.43	-65 48 24.80	 0.636
5BZB J0314+0619	03 14 23.89	+06 19 56.89	 0.000
5BZB J0314-5104	03 14 25.68	-51 04 31.69	 0.000
5BZB J0315-1656	03 15 27.67	-16 56 29.68	 0.000
5BZQ J0315-2939	03 15 31.20	-29 39 59.00	 1.217
5BZQ J0315-1031	03 15 56.88	-10 31 39.50	 1.565
5BZB J0316+0904	03 16 12.71	+09 04 43.28	 0.000
5BZB J0316-6437	03 16 14.34	-64 37 31.51	 0.000
5BZB J0316-2607	03 16 14.93	-26 07 57.21	 0.443
5BZB J0316-2216	03 16 33.74	-22 16 12.79	 0.228
5BZQ J0317-2803	03 17 33.66	-28 03 18.61	 1.166
5BZU J0317+0248	03 17 47.92	+02 48 42.40	 0.748
5BZQ J0319-1613	03 19 05.52	-16 13 46.70	 1.618
5BZU J0319+4130	03 19 48.16	+41 30 42.08	 0.018
5BZG J0319+1901	03 19 51.25	+19 01 31.29	 0.296
5BZG J0319+1845	03 19 51.79	+18 45 34.48	 0.190
5BZQ J0320-3837	03 20 46.39	-38 37 28.48	 1.194
5BZG J0320-7500	03 20 52.20	-75 00 38.08	 0.077
5BZQ J0321-3122	03 21 28.74	-31 22 56.31	 1.785
5BZQ J0321-0526	03 21 59.87	-05 26 12.40	 0.579
5BZB J0321+2336	03 21 59.93	+23 36 11.01	 0.000
5BZQ J0322-5205	03 22 08.22	-52 05 35.01	 0.416
5BZQ J0322-5042	03 22 12.42	-50 42 33.08	 0.651
5BZQ J0322-1335	03 22 38.45	-13 35 17.70	 1.468
5BZB J0323-0111	03 23 43.61	-01 11 46.10	 0.000
5BZB J0323+0717	03 23 50.79	+07 17 37.10	 0.000
5BZB J0323-0108	03 23 56.64	-01 08 29.61	 0.392
5BZU J0324+3410	03 24 41.16	+34 10 45.91	 0.061
5BZQ J0324-2918	03 24 44.29	-29 18 21.20	 4.630
5BZQ J0325-2140	03 25 00.79	-21 40 41.48	 2.828
5BZQ J0325-2415	03 25 13.38	-24 15 48.09	 1.161
5BZQ J0325-5629	03 25 22.66	-56 29 04.81	 0.862
5BZQ J0325+2224	03 25 36.81	+22 24 00.39	 2.066
5BZB J0325-1646	03 25 41.09	-16 46 16.78	 0.291
5BZB J0326+0225	03 26 13.97	+02 25 14.69	 0.147
5BZQ J0326-3243	03 26 15.05	-32 43 24.99	 0.699
5BZQ J0326-5337	03 26 50.94	-53 37 01.41	 0.543
5BZQ J0327+0044	03 27 59.22	+00 44 22.70	 1.357
5BZQ J0327-2202	03 27 59.92	-22 02 06.39	 2.220
5BZU J0329+3510	03 29 15.35	+35 10 05.98	 0.500
5BZQ J0329-2357	03 29 54.07	-23 57 08.78	 0.895
5BZQ J0331-2524	03 31 08.93	-25 24 43.19	 2.690
5BZU J0332-1119	03 32 23.24	-11 19 50.59	 0.000
5BZQ J0332-7249	03 32 43.00	-72 49 04.51	 2.739
5BZQ J0332-4455	03 32 44.10	-44 55 56.99	 2.679
5BZB J0333-3619	03 33 12.28	-36 19 46.70	 0.308
5BZB J0333+2916	03 33 49.00	+29 16 31.51	 0.000
5BZB J0333+6536	03 33 56.74	+65 36 56.19	 0.000
5BZB J0334-4008	03 34 13.64	-40 08 25.40	 0.000
5BZB J0334-3725	03 34 15.42	-37 25 43.10	 0.000
5BZQ J0334+0800	03 34 53.32	+08 00 14.39	 1.982
5BZB J0335-4459	03 35 13.90	-44 59 39.98	 0.000
5BZB J0336-0347	03 36 23.80	-03 47 38.61	 0.162
5BZQ J0336+3218	03 36 30.11	+32 18 29.30	 1.259
5BZQ J0336-1302	03 36 35.03	-13 02 04.70	 1.303
5BZQ J0336-3616	03 36 54.00	-36 16 06.20	 1.537
5BZQ J0337-1204	03 37 55.44	-12 04 04.51	 3.442
5BZQ J0338+3106	03 38 00.34	+31 06 09.68	 1.662
5BZB J0338-2443	03 38 12.49	-24 43 50.30	 0.251
5BZQ J0339-0133	03 39 00.96	-01 33 17.20	 3.197
5BZQ J0339-0146	03 39 30.94	-01 46 35.79	 0.850
5BZQ J0340-6703	03 40 28.24	-67 03 16.48	 0.478
5BZB J0340-2119	03 40 35.61	-21 19 31.18	 0.233
5BZQ J0341+3352	03 41 09.97	+33 52 21.61	 0.725
5BZQ J0341-5954	03 41 21.60	-59 54 08.89	 2.064
5BZU J0342+3859	03 42 16.25	+38 59 06.21	 0.945
5BZQ J0343-2530	03 43 19.51	-25 30 17.38	 1.419
5BZQ J0343+3622	03 43 28.95	+36 22 12.39	 1.485
5BZQ J0343-1141	03 43 41.98	-11 41 37.71	 2.259
5BZQ J0344+1559	03 44 23.16	+15 59 43.40	 2.276
5BZQ J0345+1453	03 45 06.42	+14 53 49.59	 1.556
5BZQ J0345-0023	03 45 33.67	-00 23 02.68	 0.799
5BZQ J0347+4842	03 47 11.60	+48 42 37.51	 2.043
5BZQ J0348-2749	03 48 38.14	-27 49 13.58	 0.991
5BZB J0348-1610	03 48 39.27	-16 10 17.79	 0.000
5BZB J0349-1159	03 49 23.20	-11 59 26.98	 0.188
5BZQ J0349-2102	03 49 57.83	-21 02 47.68	 2.944
5BZQ J0350+5138	03 50 25.04	+51 38 38.68	 1.437
5BZQ J0351-1153	03 51 10.98	-11 53 22.70	 1.520
5BZQ J0351-7921	03 51 25.50	-79 21 56.30	 1.333
5BZB J0351-3703	03 51 54.56	-37 03 44.20	 0.165
5BZB J0353-3623	03 53 05.03	-36 23 08.41	 0.000
5BZQ J0354-1616	03 54 25.02	-16 16 22.51	 1.187
5BZB J0354+8009	03 54 46.13	+80 09 28.80	 0.000
5BZB J0357-4955	03 57 00.17	-49 55 48.61	 0.643
5BZU J0357+2319	03 57 21.60	+23 19 53.79	 1.484
5BZQ J0357-4812	03 57 21.91	-48 12 15.19	 1.005
5BZQ J0357-4159	03 57 36.77	-41 59 01.28	 1.271
5BZQ J0357-0751	03 57 43.29	-07 51 14.61	 1.050
5BZQ J0357+0542	03 57 46.13	+05 42 31.28	 2.164
5BZB J0358-3054	03 58 56.10	-30 54 47.80	 0.000
5BZQ J0359+5057	03 59 29.75	+50 57 50.18	 1.512
5BZB J0359-2615	03 59 33.67	-26 15 31.28	 0.000
5BZQ J0359+3220	03 59 44.90	+32 20 47.18	 1.331
5BZQ J0400+0550	04 00 11.74	+05 50 43.11	 0.761
5BZG J0401-1606	04 01 06.64	-16 06 38.98	 0.032
5BZB J0401+8153	04 01 28.72	+81 53 11.90	 0.215
5BZQ J0401+2110	04 01 45.17	+21 10 28.59	 0.834
5BZB J0402-2615	04 02 00.77	-26 15 39.31	 0.000
5BZQ J0402-3147	04 02 21.27	-31 47 25.90	 1.288
5BZQ J0403+2600	04 03 05.58	+26 00 01.51	 2.109
5BZB J0403-2429	04 03 24.55	-24 29 49.81	 0.357
5BZQ J0403-2444	04 03 41.74	-24 44 08.48	 0.598
5BZQ J0403-3605	04 03 53.75	-36 05 01.89	 1.417
5BZQ J0405-0739	04 05 00.79	-07 39 20.41	 2.817
5BZQ J0405-1308	04 05 34.00	-13 08 13.70	 0.571
5BZQ J0406-1749	04 06 12.23	-17 49 57.90	 1.640
5BZQ J0406+0637	04 06 34.31	+06 37 15.09	 0.666
5BZU J0406-3826	04 06 59.03	-38 26 27.99	 1.285
5BZB J0407+0742	04 07 29.09	+07 42 07.48	 1.133
5BZQ J0407-3303	04 07 33.90	-33 03 46.40	 2.562
5BZU J0407-1211	04 07 48.42	-12 11 36.70	 0.573
5BZQ J0409-1238	04 09 05.76	-12 38 48.08	 1.563
5BZB J0409-0555	04 09 11.34	-05 55 29.31	 0.000
5BZB J0409+1217	04 09 22.01	+12 17 39.80	 0.504
5BZB J0409+0640	04 09 25.85	+06 40 35.11	 0.805
5BZB J0409-0400	04 09 46.59	-04 00 03.60	 0.000
5BZQ J0410-7750	04 10 42.30	-77 50 43.29	 2.449
5BZQ J0410-1636	04 10 59.40	-16 36 10.00	 0.622
5BZB J0411-3941	04 11 11.25	-39 41 42.61	 0.000
5BZQ J0411-5149	04 11 37.14	-51 49 23.41	 1.257
5BZQ J0412+0010	04 12 33.46	+00 10 48.50	 1.130
5BZQ J0412+0438	04 12 38.18	+04 38 06.10	 1.081
5BZQ J0412-4604	04 12 50.28	-46 04 49.69	 2.223
5BZQ J0413-5332	04 13 13.48	-53 32 00.49	 1.024
5BZQ J0415-4023	04 15 14.45	-40 23 41.10	 1.389
5BZU J0416-2056	04 16 04.36	-20 56 27.49	 0.807
5BZU J0416-4355	04 16 05.81	-43 55 14.59	 0.398
5BZQ J0416-1851	04 16 36.53	-18 51 08.31	 1.536
5BZB J0416+0105	04 16 52.49	+01 05 23.89	 0.287
5BZQ J0419-2132	04 19 00.42	-21 32 35.70	 1.646
5BZQ J0419-3010	04 19 47.21	-30 10 23.80	 1.003
5BZQ J0420-1501	04 20 18.38	-15 01 26.61	 1.180
5BZQ J0421-4818	04 21 27.48	-48 18 05.18	 0.527
5BZB J0421-0629	04 21 32.92	-06 29 03.19	 0.391
5BZQ J0422-0643	04 22 10.79	-06 43 45.30	 0.242
5BZQ J0422-3844	04 22 14.78	-38 44 52.90	 3.110
5BZB J0422+1950	04 22 18.32	+19 50 54.99	 0.516
5BZQ J0422+1741	04 22 47.77	+17 41 15.90	 0.908
5BZQ J0422+0219	04 22 52.20	+02 19 26.90	 2.277
5BZQ J0423-0120	04 23 15.79	-01 20 33.10	 0.916
5BZB J0423+4150	04 23 56.00	+41 50 02.68	 0.000
5BZQ J0424+0204	04 24 08.56	+02 04 24.99	 2.056
5BZQ J0424-3848	04 24 33.72	-38 48 41.61	 2.346
5BZQ J0424-3756	04 24 42.23	-37 56 20.79	 0.782
5BZB J0424+0036	04 24 46.84	+00 36 06.40	 0.000
5BZQ J0424+0805	04 24 57.59	+08 05 17.01	 3.085
5BZB J0425-5331	04 25 04.26	-53 31 58.29	 0.000
5BZQ J0425-5754	04 25 04.72	-57 54 55.69	 0.886
5BZG J0425-0833	04 25 51.31	-08 33 39.88	 0.039
5BZQ J0426+0518	04 26 36.60	+05 18 19.90	 1.333
5BZQ J0427-0756	04 27 14.22	-07 56 24.89	 1.375
5BZQ J0428+3259	04 28 05.81	+32 59 52.00	 0.476
5BZQ J0428+1732	04 28 35.63	+17 32 23.60	 3.317
5BZB J0428-3756	04 28 40.42	-37 56 19.60	 1.110
5BZG J0428-3805	04 28 50.86	-38 05 50.49	 0.150
5BZB J0429-3236	04 29 00.17	-32 36 41.18	 0.000
5BZQ J0429-4328	04 29 25.01	-43 28 36.51	 1.423
5BZB J0430-2507	04 30 16.01	-25 07 38.89	 0.000
5BZQ J0431-0406	04 31 28.08	-04 06 27.28	 0.628
5BZU J0431+1731	04 31 57.37	+17 31 35.79	 0.000
5BZQ J0432-5109	04 32 21.17	-51 09 25.19	 0.557
5BZU J0433+0521	04 33 11.09	+05 21 15.58	 0.033
5BZB J0433-4502	04 33 13.84	-45 02 54.59	 0.324
5BZQ J0433-6030	04 33 34.11	-60 30 13.78	 0.930
5BZB J0433+2905	04 33 37.83	+29 05 55.49	 0.970
5BZQ J0433+3237	04 33 40.67	+32 37 11.49	 2.011
5BZQ J0434-4355	04 34 03.24	-43 55 47.20	 2.649
5BZB J0434-2015	04 34 07.91	-20 15 17.20	 0.000
5BZQ J0434-1442	04 34 19.02	-14 42 55.40	 1.899
5BZB J0434-2342	04 34 28.97	-23 42 05.29	 0.000
5BZQ J0435-0811	04 35 08.34	-08 11 03.08	 0.791
5BZQ J0435+2532	04 35 34.57	+25 32 59.71	 0.602
5BZQ J0435+2923	04 35 58.37	+29 23 36.38	 2.336
5BZQ J0437-1844	04 37 01.48	-18 44 48.58	 2.702
5BZQ J0437-2954	04 37 36.56	-29 54 04.10	 1.328
5BZQ J0438+3004	04 38 04.94	+30 04 45.51	 1.454
5BZQ J0438-1251	04 38 35.02	-12 51 03.38	 1.285
5BZQ J0438-2012	04 38 50.49	-20 12 26.38	 2.146
5BZB J0439-4522	04 39 00.84	-45 22 22.51	 0.000
5BZG J0439+0520	04 39 02.26	+05 20 43.69	 0.208
5BZU J0439-3210	04 39 33.88	-32 10 09.80	 0.000
5BZQ J0439-3017	04 39 53.20	-30 17 45.59	 1.447
5BZQ J0440-4333	04 40 17.17	-43 33 08.60	 2.852
5BZB J0440-2459	04 40 18.56	-24 59 34.11	 0.600
5BZU J0440+1437	04 40 21.13	+14 37 57.00	 0.000
5BZB J0440+2750	04 40 50.38	+27 50 46.78	 0.000
5BZQ J0441-4313	04 41 17.28	-43 13 43.60	 0.593
5BZB J0441-2952	04 41 19.49	-29 52 36.30	 0.000
5BZB J0441+1504	04 41 27.47	+15 04 55.59	 0.000
5BZB J0442-0018	04 42 30.20	-00 18 29.80	 0.449
5BZQ J0442-2825	04 42 37.66	-28 25 30.89	 1.952
5BZQ J0442-0017	04 42 38.65	-00 17 43.40	 0.845
5BZG J0445-6014	04 45 01.51	-60 14 59.71	 0.097
5BZQ J0446+3900	04 46 11.48	+39 00 17.10	 0.413
5BZQ J0447-0322	04 47 54.73	-03 22 42.31	 0.774
5BZQ J0448-3659	04 48 15.04	-36 59 02.18	 0.561
5BZQ J0448-2109	04 48 17.38	-21 09 44.71	 1.971
5BZQ J0448-5041	04 48 22.30	-50 41 33.79	 1.479
5BZQ J0448-2626	04 48 23.95	-26 26 14.78	 1.764
5BZB J0448-1632	04 48 37.63	-16 32 42.79	 0.000
5BZQ J0448-7417	04 48 48.54	-74 17 31.20	 1.208
5BZQ J0448+1127	04 48 50.40	+11 27 54.39	 1.370
5BZQ J0449+1121	04 49 07.67	+11 21 28.58	 2.153
5BZQ J0449+6332	04 49 23.30	+63 32 09.38	 0.781
5BZB J0449-4350	04 49 24.70	-43 50 08.98	 0.205
5BZQ J0449-4809	04 49 39.59	-48 09 40.71	 1.497
5BZQ J0449-3911	04 49 42.24	-39 11 09.49	 1.290
5BZQ J0449-0057	04 49 42.89	-00 57 22.28	 0.487
5BZQ J0450-8101	04 50 05.44	-81 01 02.20	 0.444
5BZQ J0450-1837	04 50 35.90	-18 37 00.40	 2.050
5BZQ J0451-4653	04 51 53.34	-46 53 19.89	 0.602
5BZQ J0452+1236	04 52 42.59	+12 36 24.58	 1.177
5BZQ J0453-2807	04 53 14.64	-28 07 37.30	 2.564
5BZQ J0455-4615	04 55 50.76	-46 15 58.71	 0.858
5BZQ J0456-3136	04 56 36.67	-31 36 12.49	 0.865
5BZQ J0456+0400	04 56 47.16	+04 00 52.88	 1.349
5BZQ J0457-2324	04 57 03.18	-23 24 51.98	 1.003
5BZQ J0457+0645	04 57 07.71	+06 45 07.30	 0.405
5BZQ J0457-1819	04 57 54.33	-18 19 16.10	 1.527
5BZQ J0501-0159	05 01 12.81	-01 59 14.31	 2.291
5BZQ J0502+0609	05 02 15.44	+06 09 07.48	 1.106
5BZB J0502+1338	05 02 33.20	+13 38 10.89	 0.000
5BZB J0503+6534	05 03 05.81	+65 34 01.19	 0.000
5BZB J0503-1115	05 03 35.43	-11 15 06.08	 0.000
5BZQ J0503+6600	05 03 56.44	+66 00 31.50	 1.696
5BZQ J0503+3403	05 03 56.77	+34 03 28.11	 0.149
5BZU J0504-6049	05 04 01.69	-60 49 52.49	 1.037
5BZQ J0505+0459	05 05 23.17	+04 59 42.68	 0.954
5BZB J0505+0415	05 05 34.78	+04 15 54.68	 0.424
5BZQ J0505-0419	05 05 51.23	-04 19 26.61	 1.481
5BZQ J0505-2930	05 05 55.84	-29 30 38.19	 1.070
5BZB J0505+6113	05 05 58.79	+61 13 35.90	 0.000
5BZB J0506-0858	05 06 39.89	-08 58 01.59	 0.000
5BZQ J0506-6109	05 06 43.98	-61 09 41.00	 1.093
5BZB J0506-5435	05 06 57.79	-54 35 03.80	 0.000
5BZQ J0507-6104	05 07 54.66	-61 04 43.10	 1.089
5BZB J0507+6737	05 07 56.25	+67 37 24.38	 0.416
5BZQ J0508-6433	05 08 20.39	-64 33 17.31	 0.518
5BZB J0508+8432	05 08 42.36	+84 32 04.48	 1.340
5BZB J0509+0541	05 09 25.96	+05 41 35.30	 0.000
5BZQ J0509+1011	05 09 27.46	+10 11 44.59	 0.621
5BZB J0509-0400	05 09 38.14	-04 00 45.50	 0.304
5BZB J0509-2514	05 09 39.85	-25 14 03.58	 0.264
5BZQ J0510+1800	05 10 02.36	+18 00 41.61	 0.416
5BZQ J0511+1357	05 11 38.31	+13 57 19.11	 1.696
5BZQ J0513+0100	05 13 40.02	+01 00 21.60	 2.679
5BZQ J0513-2159	05 13 49.11	-21 59 16.11	 1.296
5BZQ J0514+5602	05 14 18.70	+56 02 11.11	 2.190
5BZQ J0515-4556	05 15 45.23	-45 56 43.29	 0.194
5BZB J0515+1527	05 15 47.34	+15 27 16.48	 0.000
